Alarms/Warnings On HMI (Panel),,,,,,,Alarms/Warnings In PLC,,,,,Alarms/Warnings in Data Block OPC UA To Doovit module,,
ID,Name,"Alarm text [en-US], Alarm text 1",Class,Trigger tag,,,Name,Data Type,Comment,,,Name,Data Type,Comment
1,Discrete alarm_1,Both Tanks Are Empty,Alarm,Alarms[1],,<==,Alarms[1],Bool,Both Tanks Empty,,,Alarms[1],String,'Level Switch Tank 1 Alarm'
3,Discrete alarm_3,Emergency Stop Alarm (-24ESD3),Alarm,Alarms[3],,<==,Alarms[3],Bool,Emergency Stop Alarm (-24ESD3),,,Alarms[2],String,'Emergency Stop Alarm (-24ESD3)'
10,Discrete alarm_10,Spill Switch Activated (-LD01),Alarm,Alarms[10],,<==,Alarms[10],Bool,Spill Switch Activated (-LD01),,,Alarms[10],String,'Spill Switch Activated (-LD01)'
11,Discrete alarm_11,High High Alarm Level Tank 1 (-28U2 ),Alarm,Alarms[11],,<==,Alarms[11],Bool,High High Alarm Level Tank 1 (-28U2 ),,,Alarms[11],String,'High High Alarm Level Tank 1 (-28U2 )'
13,Discrete alarm_13,High High Alarm Level Tank 2 (-28U5),Alarm,Alarms[13],,<==,Alarms[13],Bool,High High Alarm Level Tank 2 (-28U5),,,Alarms[13],String,'High High Alarm Level Tank 2 (-28U5)'
15,Discrete alarm_15,High High Alarm Temperature Pump 1 (-20U1),Alarm,Alarms[15],,<==,Alarms[15],Bool,High High Alarm Temperature Pump 1 (-20U1),,,Alarms[15],String,'High High Alarm Temperature Pump 1 (-20U1)'
16,Discrete alarm_16,Low Low Alarm Temperature Pump 1 (-20U1),Alarm,Alarms[16],,<==,Alarms[16],Bool,Low Low Alarm Temperature Pump 1 (-20U1),,,Alarms[16],String,'Low Low Alarm Temperature Pump 1 (-20U1)'
17,Discrete alarm_17,High High Alarm Temperature Pump 2 (-20U3),Alarm,Alarms[17],,<==,Alarms[17],Bool,High High Alarm Temperature Pump 2 (-20U3),,,Alarms[17],String,'High High Alarm Temperature Pump 2 (-20U3)'
18,Discrete alarm_18,Low Low Alarm Temperature Pump 2 (-20U3),Alarm,Alarms[18],,<==,Alarms[18],Bool,Low Low Alarm Temperature Pump 2 (-20U3),,,Alarms[18],String,'Low Low Alarm Temperature Pump 2 (-20U3)'
19,Discrete alarm_19,High High Alarm Temperature Shelter (-19U4),Alarm,Alarms[19],,<==,Alarms[19],Bool,High High Alarm Temperature Shelter (-19U4),,,Alarms[19],String,'High High Alarm Temperature Shelter (-19U4)'
20,Discrete alarm_20,Low Low Alarm Temperature Shelter (-19U4),Alarm,Alarms[20],,<==,Alarms[20],Bool,Low Low Alarm Temperature Shelter (-19U4),,,Alarms[20],String,'Low Low Alarm Temperature Shelter (-19U4)'
21,Discrete alarm_21,High High Alarm Pressure Transmitter (-19U1),Alarm,Alarms[21],,<==,Alarms[21],Bool,High High Alarm Pressure Transmitter (-19U1),,,Alarms[21],String,'High High Alarm Pressure Transmitter (-19U1)'
22,Discrete alarm_22,Low Low Alarm Pressure Transmitter (-19U1),Alarm,Alarms[22],,<==,Alarms[22],Bool,Low Low Alarm Pressure Transmitter (-19U1),,,Alarms[22],String,'Low Low Alarm Pressure Transmitter (-19U1)'
31,Discrete alarm_31,Primary Tranformer Alarm (-10Q5) ,Alarm,Alarms[31],,<==,Alarms[31],Bool,Primary Tranformer Alarm (-10Q5) ,,,Alarms[31],String,'Primary Tranformer Alarm (-10Q5) '
32,Discrete alarm_32,Secondary Tranformer Alarm (-10F6),Alarm,Alarms[32],,<==,Alarms[32],Bool,Secondary Tranformer Alarm (-10F6),,,Alarms[32],String,'Secondary Tranformer Alarm (-10F6)'
33,Discrete alarm_33,Fire Alarm (--SM01),Alarm,Alarms[33],,<==,Alarms[33],Bool,Fire Alarm (--SM01),,,Alarms[33],String,'Fire Alarm (--SM01)'
34,Discrete alarm_34,No Power Fire Panel (--SM01),Alarm,Alarms[34],,<==,Alarms[34],Bool,No Power Fire Panel (--SM01),,,Alarms[34],String,'No Power Fire Panel (--SM01)'
35,Discrete alarm_35,Pump 1 Or Pump 2 Is Running But No Additive Flow Has Been Detected (-21B1 to -21B7 + -22B1 to -22B3),Alarm,Alarms[35],,<==,Alarms[35],Bool,Pump 1 Or Pump 2 Is Running But No Additive Flow Has Been Detected (-21B1 to -21B7 + -22B1 to -22B3),,,Alarms[35],String,'Pump 1 Or Pump 2 Is Running But No Additive Flow Has Been Detected (-21B1 to -21B7 + -22B1 to -22B3)'
37,Discrete alarm_37,Both Pumps In Power Fault,Alarm,Alarms[37],,<==,Alarms[37],Bool,Both Pumps In Power Fault,,,Alarms[37],String,'Both Pumps In Power Fault'
38,Discrete alarm_38,Both Pumps In Trip ,Alarm,Alarms[38],,<==,Alarms[38],Bool,Both Pumps In Trip ,,,Alarms[38],String,'Both Pumps In Trip '
45,Discrete alarm_45,Airco Fail Alarm,Alarm,Alarms[45],,<==,Alarms[45],Bool,Airco Fail Alarm,,,Alarms[45],String,'Airco Fail Alarm'
50,Discrete alarm_50,No Main Flow Detected on Header 1,Alarm,Alarms[50],,<==,Alarms[50],Bool,No Main Flow Detected on Header 1,,,Alarms[50],String,'No Main Flow Detected on Header 1'
51,Discrete alarm_51,No Main Flow Detected on Header 2,Alarm,Alarms[51],,<==,Alarms[51],Bool,No Main Flow Detected on Header 2,,,Alarms[51],String,'No Main Flow Detected on Header 2'
52,Discrete alarm_52,No Main Flow Detected on Header 3,Alarm,Alarms[52],,<==,Alarms[52],Bool,No Main Flow Detected on Header 3,,,Alarms[52],String,'No Main Flow Detected on Header 3'
53,Discrete alarm_53,No Main Flow Detected on Header 4,Alarm,Alarms[53],,<==,Alarms[53],Bool,No Main Flow Detected on Header 4,,,Alarms[53],String,'No Main Flow Detected on Header 4'
54,Discrete alarm_54,No Main Flow Detected on Header 5,Alarm,Alarms[54],,<==,Alarms[54],Bool,No Main Flow Detected on Header 5,,,Alarms[54],String,'No Main Flow Detected on Header 5'
55,Discrete alarm_55,No Main Flow Detected on Header 6,Alarm,Alarms[55],,<==,Alarms[55],Bool,No Main Flow Detected on Header 6,,,Alarms[55],String,'No Main Flow Detected on Header 6'
56,Discrete alarm_56,Low Low Alarm Level Tank 1,Alarm,Alarms[56],,<==,Alarms[56],Bool,Low Low Alarm Level Tank 1 (-28U2 ),,,Alarms[56],String,'Low Low Alarm Level Tank 1 (-28U2 )'
57,Discrete alarm_57,Low Low Alarm Level Tank 2,Alarm,Alarms[57],,<==,Alarms[57],Bool,Low Low Alarm Level Tank 2 (-28U5),,,Alarms[57],String,'Low Low Alarm Level Tank 2 (-28U5)'
60,Discrete alarm_60,Injection Pump 1 Power Alarm (-11F1.1),Alarm,Alarms[60],,<==,Alarms[60],Bool,Injection Pump 1 Power Alarm (-11F1.1),,,Alarms[60],String,'Injection Pump 1 Power Alarm (-11F1.1)'
61,Discrete alarm_61,Injection Pump 1 Trip Alarm (-11F1.1),Alarm,Alarms[61],,<==,Alarms[61],Bool,Injection Pump 1 Trip Alarm (-11F1.1),,,Alarms[61],String,'Injection Pump 1 Trip Alarm (-11F1.1)'
65,Discrete alarm_65,Injection Pump 2 Power Alarm (-11F5.1),Alarm,Alarms[65],,<==,Alarms[65],Bool,Injection Pump 2 Power Alarm (-11F5.1),,,Alarms[65],String,'Injection Pump 2 Power Alarm (-11F5.1)'
66,Discrete alarm_66,Injection Pump 2 Trip Alarm (-11F5.1),Alarm,Alarms[66],,<==,Alarms[66],Bool,Injection Pump 2 Trip Alarm (-11F5.1),,,Alarms[66],String,'Injection Pump 2 Trip Alarm (-11F5.1)'
67,Discrete alarm_67,No Flow (-21B1) Detected While Injection Valve 1 Is Open (-31Y1),Alarm,Alarms[67],,<==,Alarms[67],Bool,No Flow (-21B1) Detected While Injection Valve 1 Is Open,,,Alarms[67],String,'No Flow (-21B1) Detected While Injection Valve 1 Is Open'
68,Discrete alarm_68,No Flow (-21B3) Detected While Injection Valve 2 Is Open (-31Y3),Alarm,Alarms[68],,<==,Alarms[68],Bool,No Flow (-21B3) Detected While Injection Valve 2 Is Open,,,Alarms[68],String,'No Flow (-21B3) Detected While Injection Valve 2 Is Open'
69,Discrete alarm_69,No Flow (-21B5) Detected While Injection Valve 3 Is Open (-31Y5),Alarm,Alarms[69],,<==,Alarms[69],Bool,No Flow (-21B5) Detected While Injection Valve 3 Is Open,,,Alarms[69],String,'No Flow (-21B5) Detected While Injection Valve 3 Is Open'
70,Discrete alarm_70,No Flow (-21B7) Detected While Injection Valve 4 Is Open (-31Y7),Alarm,Alarms[70],,<==,Alarms[70],Bool,No Flow (-21B5) Detected While Injection Valve 4 Is Open,,,Alarms[70],String,'No Flow (-21B5) Detected While Injection Valve 4 Is Open'
71,Discrete alarm_71,No Flow (-22B1) Detected While Injection Valve 5 Is Open (-32Y1),Alarm,Alarms[71],,<==,Alarms[71],Bool,No Flow (-21B5) Detected While Injection Valve 5 Is Open,,,Alarms[71],String,'No Flow (-21B5) Detected While Injection Valve 5 Is Open'
72,Discrete alarm_72,No Flow (-22B3) Detected While Injection Valve 6 Is Open (-32Y3),Alarm,Alarms[72],,<==,Alarms[72],Bool,No Flow (-21B5) Detected While Injection Valve 6 Is Open,,,Alarms[72],String,'No Flow (-21B5) Detected While Injection Valve 6 Is Open'
73,Discrete alarm_73,Flow (-21B1) Detected While Injection Valve 1 Is Closed (-31Y1),Alarm,Alarms[73],,<==,Alarms[73],Bool,Flow (-21B1) Detected While Injection Valve 1 Is Closed,,,Alarms[73],String,'Flow (-21B1) Detected While Injection Valve 1 Is Closed'
74,Discrete alarm_74,Flow (-21B3) Detected While Injection Valve 2 Is Closed (-31Y3),Alarm,Alarms[74],,<==,Alarms[74],Bool,Flow (-21B3) Detected While Injection Valve 2 Is Closed,,,Alarms[74],String,'Flow (-21B3) Detected While Injection Valve 2 Is Closed'
75,Discrete alarm_75,Flow (-21B5) Detected While Injection Valve 3 Is Closed (-31Y5),Alarm,Alarms[75],,<==,Alarms[75],Bool,Flow (-21B5) Detected While Injection Valve 3 Is Closed,,,Alarms[75],String,'Flow (-21B5) Detected While Injection Valve 3 Is Closed'
76,Discrete alarm_76,Flow (-21B7) Detected While Injection Valve 4 Is Closed (-31Y7),Alarm,Alarms[76],,<==,Alarms[76],Bool,Flow (-21B5) Detected While Injection Valve 4 Is Closed,,,Alarms[76],String,'Flow (-21B5) Detected While Injection Valve 4 Is Closed'
77,Discrete alarm_77,Flow (-22B1) Detected While Injection Valve 5 Is Closed (-32Y1),Alarm,Alarms[77],,<==,Alarms[77],Bool,Flow (-21B5) Detected While Injection Valve 5 Is Closed,,,Alarms[77],String,'Flow (-21B5) Detected While Injection Valve 5 Is Closed'
78,Discrete alarm_78,Flow (-22B3) Detected While Injection Valve 6 Is Closed (-32Y3),Alarm,Alarms[78],,<==,Alarms[78],Bool,Flow (-21B5) Detected While Injection Valve 6 Is Closed,,,Alarms[78],String,'Flow (-21B5) Detected While Injection Valve 6 Is Closed'
111,Discrete warning_111,High Warning Level Tank 1 (-28U2 ),Warning,Warnings[11],,<==,Warnings[11],Bool,High Warning Level Tank 1 (-28U2 ),,,Warnings[11],String,'High Warning Level Tank 1 (-28U2 )'
112,Discrete warning_112,Low Warning Level Tank 1 (-28U2 ),Warning,Warnings[12],,<==,Warnings[12],Bool,Low Warning Level Tank 1 (-28U2 ),,,Warnings[12],String,'Low Warning Level Tank 1 (-28U2 )'
113,Discrete warning_113,High Warning Level Tank 2 (-28U5),Warning,Warnings[13],,<==,Warnings[13],Bool,High Warning Level Tank 2 (-28U5),,,Warnings[13],String,'High Warning Level Tank 2 (-28U5)'
114,Discrete warning_114,Low Warning Level Tank 2 (-28U5),Warning,Warnings[14],,<==,Warnings[14],Bool,Low Warning Level Tank 2 (-28U5),,,Warnings[14],String,'Low Warning Level Tank 2 (-28U5)'
115,Discrete warning_115,High Warning Temperature Pump 1 (-20U1),Warning,Warnings[15],,<==,Warnings[15],Bool,High Warning Temperature Pump 1 (-20U1),,,Warnings[15],String,'High Warning Temperature Pump 1 (-20U1)'
116,Discrete warning_116,Low Warning Temperature Pump 1 (-20U1),Warning,Warnings[16],,<==,Warnings[16],Bool,Low Warning Temperature Pump 1 (-20U1),,,Warnings[16],String,'Low Warning Temperature Pump 1 (-20U1)'
117,Discrete warning_117,High Warning Temperature Pump 2 (-20U3),Warning,Warnings[17],,<==,Warnings[17],Bool,High Warning Temperature Pump 2 (-20U3),,,Warnings[17],String,'High Warning Temperature Pump 2 (-20U3)'
